Rk,Player,xG,PrgP,Att,PrgC,PrgR,Blocks,Tkl+Int,90s,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos,-9999
1,Martín Zubimendi,0.3,36,407,5,6,12,21,6.6,2025-2026,26,es ESP,Arsenal,eng Premier League,7,591,6.6,6,1,0,2,0,2,2,0,0,0,0.3,0.3,0.6,0.9,0.8,0.9,1.7,1.7,-0.6,0.04,6,0.33,1,2,33.3,18.8,0,362,407,88.9,5,27,4,0,36,5900,1614,172,187,92,165,183,90.2,21,28,75,270,1433,627,5,7,0,8,2,331,6,14,9,6,8,0,8,13,61.5,5,12,1,11,7,21,8,0,MF,3ee0dd59
2,Oleksandr Zinchenko,0,18,178,4,6,4,6,2,2025-2026,28,ua UKR,Nott'ham Forest,eng Premier League,2,180,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0.01,3,0,0,1,33.3,28.7,0,165,178,92.7,2,19,4,0,18,2726,562,78,80,97.5,77,82,93.9,10,13,76.9,106,466,252,4,2,0,3,0,143,6,6,3,3,2,1,3,8,37.5,5,4,1,3,0,6,6,0,DF,51cf8561
3,Leny Yoro,0.3,18,250,5,3,2,16,5,2025-2026,19,fr FRA,Manchester Utd,eng Premier League,7,451,5,5,2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0.3,-0.3,-0.3,0,0.09,3,0,,0,0,8.2,0,215,250,86,1,14,1,1,18,3878,1328,90,97,92.8,105,115,91.3,17,31,54.8,171,895,542,5,3,0,3,4,199,3,7,4,5,2,0,3,5,60,2,2,1,1,9,16,19,1,DF,6763f716
4,Ryan Yates,0,5,51,0,0,1,2,1,2025-2026,27,eng ENG,Nott'ham Forest,eng Premier League,4,91,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1,0,0,1,100,17.2,0,47,51,92.2,0,4,1,0,5,707,144,27,28,96.4,17,17,100,3,5,60,26,97,17,0,2,0,0,2,35,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,6,0,MF,c1fe2a48
5,Yehor Yarmoliuk,0.2,17,218,7,7,20,18,6.7,2025-2026,21,ua UKR,Brentford,eng Premier League,7,600,6.7,7,0,0,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,-0.2,-0.2,0.8,0.05,5,0,0,2,40,21.6,0,178,218,81.7,4,16,3,1,17,3022,705,93,102,91.2,66,76,86.8,14,27,51.9,134,759,309,7,3,1,9,5,148,7,14,9,5,9,0,8,15,53.3,7,20,4,16,4,18,11,0,MF,907a5d7c
6,Granit Xhaka,0.1,40,413,2,6,10,21,7,2025-2026,32,ch SUI,Sunderland,eng Premier League,7,630,7,7,0,0,0,3,3,0,0,0,0,0.1,0.1,1,1.1,0.7,1.1,-0.1,-0.1,2,0.05,3,0,0,2,66.7,24.7,0,331,413,80.1,9,40,5,1,40,6430,1832,130,148,87.8,144,168,85.7,49,78,62.8,261,1030,380,2,4,0,2,7,270,6,12,5,4,6,2,5,9,55.6,4,10,4,6,9,21,28,1,MF,e61b8aee
7,Chris Wood,2.7,7,81,0,16,1,0,5.8,2025-2026,33,nz NZL,Nott'ham Forest,eng Premier League,7,523,5.8,7,0,0,2,0,2,2,0,0,0,2.7,2.7,0.2,2.9,0.1,2.9,-0.7,-0.7,-0.2,0.17,16,0.13,0.33,6,37.5,9.5,0,54,81,66.7,3,4,1,0,7,751,108,31,41,75.6,20,30,66.7,0,2,0,48,116,41,0,2,0,11,2,94,16,0,0,0,0,0,0,4,0,4,1,1,0,0,0,5,1,FW,4e9a0555
8,Nick Woltemade,1.9,5,56,2,16,0,7,3.4,2025-2026,23,de GER,Newcastle Utd,eng Premier League,4,302,3.4,4,0,0,3,0,3,2,1,1,0,1.9,1.1,0.2,2.1,0.1,1.3,1.1,0.9,-0.2,0.19,6,0.33,1,2,33.3,10.5,0,46,56,82.1,2,3,1,0,5,598,123,32,37,86.5,12,16,75,1,1,100,53,221,62,2,2,1,13,9,71,16,5,3,0,3,2,3,5,60,2,0,0,0,2,7,0,0,FW,7ca196eb
9,Florian Wirtz,1,33,251,15,34,9,11,5.4,2025-2026,22,de GER,Liverpool,eng Premier League,7,482,5.4,5,2,0,0,0,0,0,0,0,0,1,1,0.8,1.8,0.9,1.8,-1,-1,-0.8,0.11,9,0,0,3,33.3,17.2,0,194,251,77.3,11,20,7,0,33,3086,824,99,117,84.6,72,86,83.7,16,28,57.1,168,955,441,15,11,8,11,8,205,34,8,6,3,2,3,5,12,41.7,7,9,0,9,3,11,3,1,MFFW,e7fcf289
10,Harry Wilson,0.7,9,143,5,34,2,10,4.9,2025-2026,28,wls WAL,Fulham,eng Premier League,7,439,4.9,5,2,0,1,0,1,1,0,0,0,0.7,0.7,0.1,0.8,0.3,0.8,0.3,0.3,-0.1,0.08,9,0.11,0.33,3,33.3,18,1,106,143,74.1,4,10,2,0,9,1584,349,59,65,90.8,33,44,75,8,22,36.4,118,575,256,5,2,2,11,3,128,34,10,6,6,4,0,5,7,71.4,2,2,0,2,0,10,6,0,FWMF,c6dc9ecd
